epochs,accuracy
1,0.6710571422294589
3,0.7431824918283182
5,0.7623536221513951
13,0.777417706252411
9,0.7736240698591909
11,0.7740617549626796
7,0.7682861070972871
15,0.7783566434483825
19,0.7771178458941952
23,0.7773715949759347
25,0.7769989355833495
17,0.7771147620190167
21,0.7782108299978857
